time 	y	p	dp	q	e	r	ex	im	po	rs	qs	dps	ys	es	ps
1995Q3	4.279946843	4.080695165	0.008257142	-0.414163574	1.294187296	0.031665431	6.10599663	6.145051402	2.784807518	0.017579683	-0.378118721	0.007788797	4.317532085	0.87596824	4.370247143
1995Q4	4.283885827	4.089790877	0.009095712	-0.343971227	1.295803301	0.033370348	5.998935767	6.181682636	2.832430685	0.018092604	-0.379602756	0.005911587	4.323752572	0.886052053	4.37615873
1996Q1	4.297821317	4.111729236	0.021938359	-0.240319913	1.327539085	0.033253721	6.067709374	6.185401288	2.924950303	0.016354271	-0.314024191	0.008781577	4.333025754	0.90386596	4.384940307
1996Q2	4.316378164	4.13146371	0.019734474	-0.255774867	1.462090372	0.036082872	6.147161291	6.233514412	2.969218879	0.014899922	-0.282442007	0.011319775	4.341101341	0.914784052	4.396260081
1996Q3	4.327661522	4.154215959	0.02275225	-0.290910621	1.497871513	0.036335067	6.280030781	6.279465019	3.022534854	0.014302725	-0.309034886	0.005208464	4.348383963	0.910973604	4.401468545
1996Q4	4.337102488	4.177292277	0.023076318	-0.313441127	1.53439535	0.038759001	6.324526527	6.255069348	3.142426653	0.013981902	-0.266821048	0.00602235	4.359007408	0.913255529	4.407490895
1997Q1	4.339970806	4.203490404	0.026198127	-0.313093568	1.506494473	0.037987064	6.169205978	6.35054718	3.052585085	0.013305857	-0.191763	0.006812886	4.364590467	0.951667584	4.41430378
1997Q2	4.346069092	4.221112299	0.017621895	-0.303689897	1.497419728	0.036176555	6.322519798	6.363219085	2.893328494	0.01329481	-0.137044634	0.007608351	4.375126869	0.963371893	4.421912131
1997Q3	4.348155686	4.236866461	0.015754161	-0.284102744	1.535621282	0.035895182	6.249484987	6.252297059	2.919029399	0.014315111	-0.062313879	0.00631379	4.383935248	0.988329863	4.428225921
1997Q4	4.349664845	4.243876018	0.007009558	-0.397127805	1.569992054	0.034817194	6.280387787	6.301540211	2.929416173	0.015112553	-0.128016409	0.006005042	4.392384525	1.000427518	4.434230964
1998Q1	4.350926758	4.256983401	0.013107383	-0.378992991	1.59943808	0.033012856	6.168569064	6.252192277	2.644520948	0.016456891	-0.026200312	0.007520659	4.390718047	1.041303997	4.441751622
1998Q2	4.352340324	4.27105457	0.014071169	-0.250952348	1.643582301	0.035012866	6.19615138	6.291362844	2.586259144	0.014889063	0.018276832	0.008641986	4.394222222	1.040161265	4.450393608
1998Q3	4.350146315	4.31139358	0.040339009	-0.535437751	1.826175389	0.04667528	6.272417313	6.420938314	2.519847384	0.014066563	-0.071044962	0.004929641	4.401382582	1.043126776	4.455323249
1998Q4	4.351112427	4.330791233	0.019397654	-0.647831768	1.754253152	0.04299772	6.192416506	6.264844497	2.406341322	0.012831247	-0.07556703	0.004935606	4.40969628	0.999448937	4.460258855
1999Q1	4.360266593	4.338234087	0.007442853	-0.564756164	1.80589246	0.037392121	6.262932473	6.249075159	2.406043801	0.011821125	0.016813465	-0.000503739	4.418908969	1.021843765	4.459755116
1999Q2	4.368192635	4.341406443	0.003172356	-0.438194138	1.812982656	0.032310834	6.24107335	6.227947987	2.729596406	0.010339445	0.103699314	0.006262863	4.426856322	1.048993245	4.466017979
1999Q3	4.379054723	4.344218324	0.002811881	-0.4153677	1.80793625	0.027907704	6.247489925	6.24250891	3.012097628	0.009954264	0.120024167	0.00376311	4.437144235	1.048809141	4.469781089
1999Q4	4.389991084	4.350168253	0.005949929	-0.360673226	1.812540376	0.024991422	6.337438393	6.353970263	3.180134997	0.010214602	0.176163192	0.006003962	4.451001643	1.042986285	4.475785052
2000Q1	4.401177089	4.365747343	0.01557909	-0.259938745	1.840911473	0.023053621	6.404308421	6.394555896	3.287405122	0.010847869	0.252741441	0.005375941	4.464856453	1.064919123	4.481160993
2000Q2	4.41033587	4.389508575	0.023761232	-0.417004017	1.92541877	0.022688591	6.422509722	6.388420847	3.278653029	0.011681913	0.220653249	0.007425898	4.474808204	1.095067054	4.48858689
2000Q3	4.420191502	4.408120704	0.018612129	-0.35317207	1.945904435	0.022688591	6.458436995	6.477563544	3.412466974	0.012345952	0.208850152	0.006286524	4.480929546	1.116615438	4.494873414
2000Q4	4.428663291	4.41794985	0.009829146	-0.378135394	2.028023239	0.022688591	6.565027659	6.537908987	3.386986889	0.01287216	0.139339537	0.005405167	4.487034103	1.142927988	4.500278581
2001Q1	4.435136029	4.437324151	0.019374302	-0.312164295	2.057422134	0.022688591	6.56476677	6.499993511	3.251021569	0.012682238	0.087681601	0.004598372	4.493135096	1.131230944	4.504876953
2001Q2	4.440122179	4.451612164	0.014288012	-0.317097019	2.083951357	0.022391611	6.603673888	6.530521948	3.304686481	0.011707131	0.058190632	0.010474269	4.494780672	1.167085825	4.515351222
2001Q3	4.442774778	4.454760002	0.003147838	-0.369938978	2.124273884	0.02034891	6.567499975	6.523119591	3.228826156	0.01096144	-0.062733319	0.003186974	4.494851344	1.158605129	4.518538196
2001Q4	4.450435002	4.460088921	0.005328919	-0.305976575	2.323171727	0.02036753	6.630851631	6.682590342	2.96217549	0.009247907	-0.089150287	0.000772814	4.497284524	1.159640683	4.51931101
2002Q1	4.460925612	4.491355142	0.031266221	-0.188308135	2.444588001	0.022507498	6.753756205	6.760427233	3.05195664	0.008334219	-0.047160265	0.004937077	4.504449123	1.179775943	4.524248087
2002Q2	4.473534139	4.52390373	0.032548587	-0.181126109	2.347080333	0.025543687	6.75211511	6.682915389	3.221671912	0.009221773	-0.086169024	0.009820069	4.512231997	1.15550749	4.534068156
2002Q3	4.484788527	4.552807899	0.02890417	-0.359331681	2.345357185	0.027547011	6.690063444	6.729523999	3.292620588	0.009162627	-0.280516766	0.004358793	4.51822373	1.119188505	4.538426949
2002Q4	4.49307482	4.584223324	0.031415425	-0.396361097	2.276774856	0.029684978	6.701997075	6.666661648	3.290515324	0.008376237	-0.318792559	0.005334599	4.521688832	1.116222199	4.543761548
2003Q1	4.499921886	4.598418444	0.01419512	-0.485153997	2.121125565	0.029801728	6.577248893	6.624036168	3.44765785	0.007858461	-0.401073409	0.007653834	4.525969189	1.078888148	4.551415382
2003Q2	4.505470285	4.603533848	0.005115404	-0.564263403	2.050647185	0.029315503	6.51308527	6.560157	3.26295778	0.007243274	-0.333654742	0.005673837	4.532091431	1.049400315	4.55708922
2003Q3	4.511508746	4.595547032	-0.007986816	-0.467121545	2.003953964	0.025218893	6.570342522	6.713463591	3.347912632	0.006322958	-0.241543933	0.003539816	4.543582903	1.049692368	4.560629036
2003Q4	4.518510384	4.574716133	-0.020830898	-0.368964373	1.906160496	0.019217111	6.51074376	6.722641543	3.381446953	0.005985725	-0.170973259	0.00410067	4.555195644	1.010605645	4.564729705
2004Q1	4.533407769	4.577647899	0.002931766	-0.265975329	1.916076666	0.017622374	6.587749458	6.716898811	3.464172181	0.005926037	-0.117396266	0.00521369	4.563932017	0.97813884	4.569943395
2004Q2	4.549289544	4.583075895	0.005427996	-0.318204056	1.888698625	0.017575773	6.600626126	6.779837945	3.569250967	0.006076015	-0.133521815	0.009649046	4.571040973	0.999863141	4.579592441
2004Q3	4.566726611	4.585410238	0.002334343	-0.29015001	1.853301317	0.017163767	6.629231051	6.743202598	3.727939097	0.006403277	-0.146185442	0.004865727	4.577276181	0.994757743	4.584458169
2004Q4	4.575546712	4.590836954	0.005426716	-0.174162546	1.800539148	0.016688696	6.694464992	6.757761646	3.787744671	0.006860094	-0.096969723	0.005932003	4.58376761	0.95906602	4.590390172

